user_id,followers_count,friends_count
286543,1185,867
2007021,2825,384
7527052,551,1331
8029522,389,303
15622858,44,117
16649518,147,263
17283453,1682,694
17283453,1682,694
17283453,1682,694
17283453,1682,694
