source_id,target_id
37384589,35433394
37384589,154102105
37384589,67611162
37384589,624517612
37384589,885487044243238912
37384589,91792838
37384589,900253503192350722
37384589,219617448
37384589,137780376
37384589,1288175774
37384589,1251083774
37384589,97217966
37384589,60937837
37384589,347035710
37384589,1447949844
37384589,130104041
37384589,1346439824
37384589,2183816041
37384589,135421739
37384589,18839785
37384589,612199072
37384589,225083535
37384589,55520719
37384589,87174678
37384589,29383056
37384589,142722336
37384589,107318424
37384589,716490776
37384589,124258971
37384589,39922166
37384589,19073140
37384589,60520641
37384589,46859317
37384589,79388563
37384589,77915905
37384589,75522168
37384589,71357820
37384589,59697754
252647855,1170151064
252647855,484782496
349392750,11348282
349392750,1376851362
349392750,260740080
349392750,1080753187
349392750,705226320
349392750,560005675
349392750,26746031
349392750,182994241
349392750,264399952
349392750,557870365
349392750,2907609595
349392750,15223418
349392750,72821391
349392750,15463610
349392750,26832834
349392750,42243829
349392750,324896218
349392750,324978824
349392750,111331599
349392750,338240032
349392750,41569866
349392750,24862758
349392750,620459029
349392750,742143
349392750,5402612
349392750,20402945
349392750,813286
349392750,1492538024
349392750,36327407
349392750,44588485
349392750,277434037
349392750,769727912
349392750,711694309
349392750,68399705
349392750,405427035
349392750,68977380
349392750,75854417
349392750,471741741
349392750,17919972
349392750,14230524
349392750,177547780
349392750,66319753
349392750,185142711
349392750,16409683
349392750,31236002
349392750,71201743
349392750,92726549
349392750,56913467
349392750,65659343
349392750,113278275
616231691,1488465540
616231691,48948710
616231691,1395578322
616231691,578599347
616231691,1183111178
616231691,76690619
616231691,1254728024
616231691,567312191
616231691,455020257
616231691,943631557
616231691,1046643686
616231691,1368498470
616231691,520520686
616231691,974700937
616231691,320202923
616231691,956815699
616231691,338908433
616231691,1268340883
616231691,774494659
616231691,106631943
616231691,478985419
616231691,385757034
616231691,358640673
616231691,194403638
616231691,151503222
616231691,28139070
616231691,37674313
616231691,979272296
616231691,980953999
616231691,47206924
616231691,924086300
616231691,792842730
616231691,491830955
616231691,69791178
616231691,80773930
616231691,16104017
616231691,1385575538
616231691,1047908394
616231691,1297597904
616231691,324481883
616231691,51825931
616231691,24843979
616231691,714752120
616231691,25887274
616231691,1373608591
616231691,36799336
616231691,237010488
616231691,50826577
616231691,1424304518
616231691,1368944798
616393718,113597756
616393718,406703291
616393718,38746745
616393718,1596669912
616393718,627856619
616393718,558118066
616393718,247718063
616393718,1169737134
616393718,18577817
616393718,5449422
616393718,83390404
616393718,182948258
616393718,1113094070
616393718,234689431
616393718,54684720
616393718,1406986080
616393718,606766286
616393718,155629354
616393718,179933308
616393718,50791412
616393718,93292246
616393718,17624061
616393718,199705725
616393718,203537566
616393718,831462283
616393718,26767496
616393718,1476711734
616393718,40666068
616393718,25481322
616393718,1130397020
616393718,14478132
616393718,427563850
616393718,15395792
616393718,1374778464
616393718,88494176
616393718,1275544410
616393718,1241898602
616393718,1123729428
616393718,1340919560
616393718,72925097
616393718,325553281
616393718,288962354
616393718,1342811737
616393718,27787064
616393718,1400674765
616393718,9885692
616393718,295128920
616393718,1109860674
616393718,175526974
616393718,922727107
616635785,521455543
616635785,845748866
616635785,244727125
616635785,254299818
616635785,80902351
616635785,1360321135
616635785,1066713224
616635785,396280240
616635785,276113532
616635785,141002336
616635785,46371552
616635785,26992668
616635785,463551999
