user_id,friends_count
200607519,125227
20062705,14277
201388863,916
202451745,139
202540134,936
202550894,775
203537566,227
20402945,843
20413022,282
20434229,5215
20451414,194
20453905,3806
20477352,1177
204884446,1134
20490840,30375
20541147,489
205485858,361
20562974,1086
20566864,819
20571353,191165
20579710,72
20609518,0
206481835,11886
206930103,183
207284622,13
207531632,827
207647821,519
207714995,393
208887536,649
208983138,40
20932922,12738
20956062,7509
21004122,22176
21032654,404
210864212,23876
21109676,143
21116090,378
211162329,117
21124751,659
211441344,608
211566653,8121
21172964,10714
211777124,3358
21188490,6230
212066025,291630
21317728,3182
21361705,96068
213792513,125
213883469,18780
213937119,524
213944146,101
21405513,483
214480365,67
21474789,1178
215058188,17310
21520700,779
215238661,587
21525579,1460
21528967,489
215672219,275
215818124,2266
215873529,1094
21589065,3
216889286,6273
217081909,230
217199513,534
217344994,255
217454476,58
21762834,990
21785446,950
21790071,0
217930442,1491
21794771,3
21797410,1825
217984824,2079
2183816041,161
218500352,2052
218584061,2026
21903641,0
219495794,7397
219617448,0
219705027,6
21991769,1238
21997036,743
22000762,2634
22001790,92
220100590,269
220254442,0
220400540,3321
22041961,9969
22131095,701
22158009,4099
22160505,282
221855317,201
221987216,1174
22207878,7062
222177780,831
22236582,1063
222381693,400
222886168,693
223171913,88
223409642,7778
223490519,432
22365249,0
224221596,2102
225083535,24
225308736,1021
225549541,48958
225699522,2137
22577695,185
225818852,306552
22590193,9362
22613183,310
226266379,2221
226460878,119
22669475,5316
22680047,476
226828258,21
227200218,22
227256940,894
22733444,4140
227777318,3273
22792567,300
22799635,811
228695495,105
228837350,689
228942212,3
229093651,1819
22909956,1356
22929621,420
22940406,759
22968180,23430
22985994,12060
229941983,0
23001128,1058
230140702,49
230243636,190
23067135,349
230723893,53
230965828,2105
231580193,353
23171093,349
232650691,890
23281420,7557
232988884,2972
23343918,1137
233892844,60
23390802,2523
23395938,405
233991675,433
234385513,40897
234645171,0
234689431,3919
23475123,398
23482474,1605
23486207,354
234883763,95
234926334,4713
235036675,204
235235223,56
235430181,1585
23565127,381
23588838,6172
235896548,56
23620306,0
23636577,874
23648057,692
236591314,504
236775060,7154
23682936,27762
236868268,3398
236884767,2213
236904501,37
237010488,884
237112765,1047
237943332,166
238548291,13
239014001,232
239112995,109
239238497,41
23932737,171348
239543885,716
239703123,1070
239762393,32780
239933111,46
23993598,685
24067286,315585
24129494,245
241339629,3
24134009,83883
24160604,2424
242260786,1292
24262103,364
242654160,315
24275067,2054
243177947,691
24331426,6138
243413365,22
24347015,10394
243736810,39
243844683,670
243956258,1170
244042439,102
244068527,717
244441476,297
24462740,2246
24469324,594
244727125,1025
244872948,146
24496263,1515
245009225,15385
24505650,1348
24514891,81
245343172,1472
245538882,487
245557222,8598
24588784,85
246752931,1
24705126,1071
24747185,2635
247718063,402
24774508,2906
247763720,328
247840269,8047
247849118,684
24796814,0
24843679,12040
24843979,35
24854000,6364
24862758,2714
24865400,1413
248744030,250
248855429,600
24912064,722
249422568,205
24960010,324
250266750,612
25027494,141
25037062,366
25044415,831
25067429,919
25150827,254
251768889,380
25192474,59292
252146494,332
25215525,4633
252193141,278
252230274,923
25291000,693
25316788,3604
253384462,12827
25341500,385
25367242,1683
25375460,297
25418123,344
25421094,0
254299818,2380
25457584,2877
25481322,87
255064345,1345
255106193,0
255154971,837
255359410,2189
255414180,2271
255692671,2282
25571278,6545
256061796,60
256431134,712
25677409,1427
25688061,1456
25701619,1563
25777084,423
257853631,178
25787685,219
25807654,95
258606040,304
258748193,3912
25880402,39293
258816427,1313
25887274,6288
25903751,804
25915690,462660
259413212,1716
259475223,50
25952426,72
259572637,11434
25982387,842
259835827,1492
25993004,466
260075836,358
26047465,2116
260527969,240
260559727,0
26073214,1020
260740080,21
26085577,1092
26174529,4325
261911173,0
26196055,517
26197663,27188
26213856,199
262436109,122
26250653,782509
262669658,329
26311140,6009
263209316,789
263435069,1363
263516031,0
263547467,0
263867558,0
264196325,1709
264399952,703
26457700,107
26570863,41940
265710820,710
26573658,2838
26604630,488
266150329,1843
266421915,9802
26678695,4628
266826697,1219
266829940,90
26688218,155
26692695,11
266939164,879
26746031,833
26767496,1718
267712573,20244
26778320,1791
267784826,285
26832834,240
269362480,65
26992668,9
269940376,126
269942966,1993
26999363,724
270152414,780
27025763,428
27038968,0
27081559,243
271072803,708
