source_id,user_id
80479674,1116116454754197504
80479674,1187064941980901376
80479674,930931970825125888
80479674,51449407
80479674,74130577
80479674,272317020
80479674,949596536
80479674,312789382
80479674,754368874812993536
80479674,553036368
80479674,62603893
80479674,384445331
80479674,880412538625810432
80479674,14130366
80479674,169312819
80479674,855036990
80479674,1321937701495545857
80479674,43775786
80479674,1636590253
80479674,1234260054368342016
80479674,15506669
80479674,898301664
80479674,70987052
80479674,227070376
80479674,120242824
80479674,54979079
80479674,26389359
80479674,813286
80479674,1222987575369117701
80479674,16359535
80479674,1137701
80479674,236953420
80479674,868578294916145152
80479674,939091
80479674,818927131883356161
80479674,5509762
80479674,334217161
80479674,33216611
80479674,3840
80479674,3291691
80479674,110445334
80479674,898021206967951360
80479674,47678782
80479674,1347071545
80479674,5768872
80479674,26491179
80479674,140912249
80479674,33792634
80479674,404422077
80479674,119372054
82487179,103338935
82487179,150678850
82487179,109399420
82487179,94429039
82487179,245396123
82487179,236699098
82487179,108033462
82487179,20629110
82487179,299807811
82487179,2155553976
82487179,137489324
82487179,72960530
82487179,140495650
82487179,91430932
82487179,1671560886
82487179,238031347
82487179,57804665
82487179,1161738638
82487179,2319576488
82487179,15249082
82487179,230930518
82487179,1010483634
82487179,477671113
82487179,477666813
82487179,1253233471
82487179,703268131
82487179,285923606
82487179,228550392
82487179,1599771068
82487179,899957814
82487179,1571336227
82487179,1529468360
82487179,95538188
82487179,384133277
82487179,367866747
82487179,80322524
82487179,30044656
82487179,37023195
82487179,1504442510
82487179,20413022
82487179,359926634
82487179,52498486
82487179,1492138676
82487179,64150435
82487179,35761697
82487179,1400365663
82487179,120517304
82487179,361787082
82487179,120147257
82487179,39027227
105830531,740696301860458497
105830531,1301286749004427264
105830531,431789817
105830531,961952597337878528
105830531,923652123673362439
105830531,938135524480569345
105830531,557903779
105830531,413888593
105830531,724745924
105830531,257533796
105830531,587684282
105830531,340339213
105830531,1174811542963007488
105830531,415425221
105830531,29497917
105830531,908641350433812480
105830531,394999493
105830531,4706050276
105830531,2889765701
105830531,1081920106358292480
105830531,85317335
105830531,221298175
105830531,2286865988
105830531,1613095693
105830531,1167868842489651200
105830531,2544005815
105830531,2332651824
105830531,534853881
105830531,2326857668
105830531,810897037965271042
105830531,477644408
105830531,415623109
