user_id,friends_count
100661381,417
1006614966542139393,386
1006626747234902016,2267
1006627092396756992,512
1006634169915625473,1027
1006646153901936641,28
1006646328,1012
1006666117908254720,58
1006669448,53
1006671198,3058
1006671314,87
1006674853,1781
1006676378,52
1006678628,29
1006679376,25
1006685178,417
1006686890,55
1006699399,255
1006711620,236
1006723394,2105
1006727695781130240,1449
1006735064,243
1006741897,2122
1006759312386150400,83
1006768741391224834,1745
1006772118,256
1006774297,158
1006776774,0
1006777040,1824
1006781215,24
1006784298,11
1006798842,0
1006800386,3279
1006803415442313216,3
1006809066,1907
1006809841,9
1006811960,2977
1006813351,18
1006813377891655680,350
1006818278,286
1006820850522316800,1676
1006821063840468993,61
100682150,5061
1006845984,7558
1006846286,1062
100684909,9
1006850696392724480,288
1006851552429125633,1342
1006854679962292225,271
1006858129,432
1006859155481784323,3137
1006859496,704
1006862762,230
1006863197494706176,35
1006863966,1142
1006864589261361152,530
1006865579179937792,1060
1006872031919509505,646
1006879346320080896,155
1006886999503065090,568
1006890212721610752,34
1006895324504313858,1476
10069002,234
1006906356,476
1006906661418749953,11
1006907850327756800,606
1006912056119963648,355
1006922733668716549,3
1006923410,1252
1006927470,550
1006928822,8930
1006928915779260416,98
1006933356,1792
1006934720796643328,128
1006938632538685440,1940
1006944802628304896,221
1006948536037068801,1061
1006956736773844992,217
1006960177520758805,356
1006964104387579904,2721
1006973430,2
1006980080,467
1006981579,0
1006994598,32
1006998900430069762,1204
1007012946,0
1007015186,604
1007035327,1056
1007036304,221
100703852,1853
1007038868,386
1007047003,69
1007055074,369
1007059536,1102
100706620,132
1007076119332282368,242
1007076241,2626
1007077782,145
100707978,35
1007089198497746944,4784
1007092986,377
1007094660,622
1007095381,21
100710256,0
1007102785,950
1007104026,35315
100710759,0
1007109320,171
1007110813,18
1007112282,0
1007112691,135
1007124631,943
1007124930,0
1007125212,2349
1007126431,649
1007130751,1747
1007130792,30
1007131807,1142
10071322,665
1007132341,767
1007133582,303
1007135642,183
1007139098119819265,639
1007143314,1294
1007151235,874
1007154330,450
1007156399967817728,682
1007159479,1387
1007163168,381
10071632,155
1007165226,296
1007168244,274
1007169698,37
1007172914,1188
1007174209242583040,1350
1007174725,13
1007175796694421504,1894
1007185578,528
1007190020,1076
1007201236511313920,2342
1007203745271336960,383
100720498,342
1007205134,1767
100721927,444
1007222597593989120,1644
1007223396,3
1007228856,454
1007240016,181
1007241950670532613,1387
1007245423,34
1007246456,578
1007249078,166
1007251973857595392,67
10072522,309
1007252693604290560,5003
1007254170,3411
1007254188,1737
1007254824,911
1007262241,241
1007266902,1378
1007267930,44
1007268708,5782
1007274950,191
1007276109086543873,4314
1007288292,16519
1007295222,254
1007301842,1478
100731315,66
1007313933986947072,0
1007315671,1262
1007323688,5
1007329662,349
1007331661,572
1007332510886453253,413
1007332756601425920,1784
1007332857361190913,2834
1007342348572004355,409
1007342911,0
100734769,158
1007352378,257
1007353789,420
1007354389,581
100735712,2169
1007361667,562
1007366925582774273,230
1007369345469698048,1425
1007369724,1426
1007370865,66
1007379228,514
1007410625394429952,755
1007412786752884738,603
100741511,34
1007419752,175
1007426772,4719
1007431346,4792
1007435232,204
1007462971,382
100746893,181
1007473104,37
1007474269,0
100747431,2247
100747954,0
10074902,18848
1007503178047344640,543
1007506423,2032
100751159,150
1007512932,663
1007513836071424000,1502
1007517837156548608,4058
1007522860133437441,300
1007534256,260
1007539470302875648,1242
1007545788476608512,2067
100755182,82
100755660,33
100756162,219
1007564420015382528,253
10075652,363
1007566283825696768,870
1007571289,128
1007584526971924483,595
100758551,1094
100759064,1433
1007590645463166976,312
1007593361270804482,203
1007594039292649472,667
100759696,879
1007600650484666368,94
1007603387930726400,91
1007606396,1280
1007615484194410497,3943
1007615959,207
1007616804905250816,490
1007619223546417152,121
1007624383,0
1007629289972477958,1739
1007629866,813
100762997,6139
100763131,384
1007633573854220288,663
1007635006238453760,232
1007635525,232
1007637543037423616,1156
1007638946,2
1007639837837414400,7
1007652592053293059,2050
1007654464713580544,411
100765608,42
100766356,5658
1007674407987417090,114
1007680274170368001,95
1007701413210845184,3656
1007705902529511424,988
1007711869,1551
1007714563742199810,1098
1007717678428114944,524
100772626,1393
1007729353,378
100773830,205
100773856,19
100773976,4241
1007741587995156485,1683
1007744827,774
1007760468,6883
100776736,168
100777027,1884
100779123,243
100782436,633
1007830643399634944,3788
100783165,169
1007839532899696641,4431
100784901,100774
10078,599
100787083,291
1007896831186087938,522
100790713,2159
100790915,0
100792770,236
1007933700548546560,144
100793835,82
1007939893761323009,388
100794616,628
1007946326489919490,1185
100794729,6153
1007953777025003521,1155
1007961299240804352,1300
1007973384070852608,740
1007982889122910208,4933
100798716,6902
1008003757429415936,799
100800976,33
1008012878866247681,458
10080132,1276
1008016351708008449,13
1008024370214682624,244
100802583,308
1008043094254784517,305
1008054175421300736,350
100807104,132
100807491,1739
1008079061279576064,259
1008105070943236096,1148
100811610,235
1008121936415744001,109
1008124567,154
100815834,1529
1008170187785302016,45342
100820283,3565
1008228312,9
1008235795,62
100824495,176
1008257322127364096,353
1008268982,5
1008270440,115
1008277320,885
10082812,56035
1008281642060926976,330
1008283345892110336,64
1008290164911853569,0
1008290928,528
