user_id,friends_count
1000001683005542402,1318
1000002497363283969,10688
1000007124666212352,10664
1000007406892601344,5504
1000007886,217
1000017560732041216,618
1000021666548846592,280
100002429,15623
1000026847,277
1000028006499397633,143
1000028129132498944,721
1000034550,5406
1000036794950475776,472
1000038337,46
1000044287491526656,1334
1000045820,1837
100004676,2165
1000048224,77
1000055083986554880,975
1000056214032732160,328
1000057974629552128,2734
1000058505682997249,214
1000065312648302594,653
1000071149102010368,1788
1000071459396640769,513
1000073568229740546,9017
1000075373726584832,793
1000080896,812
1000081387460988928,683
1000083602456154112,1019
1000088256,244
1000089474,711
1000097474407612416,183
1000102284,50
100010390,124
1000105596,4890
1000107779351306240,49
1000110354,4485
100011481,9558
100011801,34293
1000118730,1269
1000120183,494
1000123506,399
1000124539,1645
1000125850094833664,1413
100012748,961
1000130107581837313,1170
1000135394,550
1000138698032320517,1690
1000144495499993089,5661
1000147609,1436
100015062,969
100015073,1883
100015306,77
1000153100,0
1000153962,933
1000164422,730
100018184,349
100019745,20
1000214682530074624,5
100021488,1197
1000219417,16
1000228238,1249
1000254547,165
1000261052209213440,45
1000261796522061824,1792
1000262514,0
1000266547,484
1000271665,271
1000273891,222
1000283977,588
1000287608,739
100030027,6
1000305146,697
100031214,182
1000317689498341376,710
100031881,1688
1000318958,265
100034114,981
100034589,63
1000346693865525248,521
1000346763360919552,92
1000347290,376
1000347551181234177,672
1000350143600889857,2307
1000351734,4230
1000358296941932544,648
1000358365,0
1000364935,0
1000366015,0
100036798,1335
1000369219,2
1000369692278738944,3933
1000374066463854592,560
1000374344,653
1000374362,129
10003752,352
1000382736413143040,190
10003862,8825
1000389515159265281,376
1000390320662700033,496
100039074,664
1000391822189965312,88
1000396645,572
1000396728,0
1000397913338630144,49
100040317,591
1000406840,448
1000413697007915009,1071
1000415159314198528,187
1000425380,1245
1000428790475091969,405
1000429514013454336,1528
1000436811255177219,332
1000438580995678208,2060
1000442052,262
100044290,2
1000446825961279488,1016
1000454190,76
1000455276,252
1000455613,112
1000463869452652545,2358
1000465262,4377
1000475748,304
100047856,103
100048008,44
1000480351905632258,2246
1000489196283400192,67
100049967,80
100049993,303
