source_id,target_id,friends_count
80479674,1116116454754197504,842
80479674,1187064941980901376,1083
80479674,930931970825125888,2496
80479674,51449407,2280
80479674,74130577,1793
80479674,272317020,3905
80479674,949596536,443
80479674,312789382,5282
80479674,754368874812993536,255
80479674,553036368,161
80479674,62603893,90
80479674,384445331,3688
80479674,880412538625810432,197
80479674,14130366,354
80479674,169312819,1650
80479674,855036990,2037
80479674,1321937701495545857,606
80479674,43775786,1328
80479674,1636590253,70
80479674,1234260054368342016,8
80479674,15506669,1
80479674,898301664,1264
80479674,70987052,1817
80479674,227070376,238
80479674,120242824,2902
80479674,54979079,357
80479674,26389359,271
80479674,813286,591592
80479674,1222987575369117701,225
80479674,16359535,534
80479674,1137701,2482
80479674,236953420,284
80479674,868578294916145152,801
80479674,939091,47
80479674,818927131883356161,331
80479674,5509762,2859
80479674,334217161,456
80479674,33216611,3
80479674,3840,4705
80479674,3291691,804
80479674,110445334,2618
80479674,898021206967951360,98
80479674,47678782,3412
80479674,1347071545,1674
80479674,5768872,13521
80479674,26491179,425
80479674,140912249,453
80479674,33792634,3293
80479674,404422077,947
80479674,119372054,858
80479674,39879120,744
80479674,48459553,1898
80479674,2414521490,479
80479674,2263452746,405
80479674,2361631088,345
80479674,2398137084,599
80479674,1289230480324395010,524
80479674,44196397,106
80479674,2815754953,4339
80479674,3100005042,96
80479674,1155566076207521792,121
80479674,1272354577321472000,522
80479674,50769180,389
80479674,742143,18
80479674,2467791,1701
80479674,14293310,506
80479674,807095,820
80479674,5988062,131
80479674,1652541,1163
80479674,3108351,1035
80479674,4898091,874
80479674,18949452,782
80479674,34713362,1329
80479674,41642329,528
80479674,1002616999267262465,12
80479674,1104579238039117826,515
80479674,34743251,100
80479674,109350515,52
80479674,352515718,3472
80479674,207694542,635
80479674,13298072,78
80479674,14803701,143731
80479674,2319249068,0
80479674,2688148651,5521
80479674,15066760,647463
80479674,19103481,55
80479674,17365848,16545
80479674,17416571,20712
80479674,197208081,1251
80479674,1472181517,332
80479674,43654274,21072
80479674,976558116,2081
80479674,412348433,2801
80479674,127614162,455
80479674,1007064512,47
80479674,1399874970,1068
80479674,1463656663,2
80479674,298740298,348
80479674,770853776,129
80479674,1198668264,40
80479674,92593530,64
80479674,1222392518,1359
80479674,390883446,21459
80479674,453262626,0
80479674,257693564,0
80479674,1168042262,11
80479674,16162109,1776
80479674,246409500,3227
80479674,1460988799,234
80479674,1446833912,641
80479674,347729793,1287
80479674,19748670,1916
80479674,962228480,7
80479674,33406255,450
80479674,33590001,26
80479674,602453372,1022
80479674,859151312,19
80479674,31102504,1526
80479674,126488466,1
80479674,198061480,615
80479674,1326173095,401
80479674,561182405,2
80479674,581688596,311
80479674,39690994,388
80479674,1448448746,66
80479674,321770222,882
80479674,534539066,36
80479674,1451550210,12
80479674,67872541,513
80479674,1169050699,305
80479674,476102076,6582
80479674,498500935,494
80479674,1279388887,219
80479674,239543885,716
80479674,1439949618,1
80479674,935133060,125
80479674,1055333790,612
80479674,1309688348,452
80479674,524395878,5176
80479674,23902041,3188
80479674,1130089729,354
80479674,95139365,2383
80479674,964056583,12441
80479674,1024759284,20777
80479674,345542675,54
80479674,486821106,461
80479674,973009614,250
80479674,70707488,177
80479674,298158699,332
80479674,356745086,334
80479674,171319184,0
80479674,249700548,1735
80479674,1009538227,3234
80479674,71777227,12667
80479674,24085560,1141
80479674,1380910946,2620
80479674,1469550246,674
80479674,56361022,114
80479674,246653875,4551
80479674,582042289,112
80479674,349089637,235
80479674,116533994,6673
80479674,426788200,369
80479674,92576500,387
80479674,182157331,171
80479674,362031024,110
80479674,21337689,9675
80479674,634735245,291
80479674,109797216,1628
80479674,54237997,24781
80479674,217454476,58
80479674,1463601727,437
80479674,407013234,1239
80479674,1245521318,114
80479674,624141454,144
80479674,1459261267,10
80479674,26045293,234
80479674,515873680,0
80479674,265520824,1661
80479674,1437320384,57
80479674,115130705,100
80479674,734262636,156
80479674,157960458,7828
80479674,1420223581,5
80479674,1458516031,23
80479674,901329002,1295
80479674,1431133626,399
80479674,45348174,246
80479674,24808331,261
80479674,1425998240,40
80479674,36301339,0
80479674,40615760,2102
80479674,631596999,387
80479674,333144591,666
80479674,296299387,15655
80479674,1112786814,1402
80479674,895390842,276
80479674,542841968,0
80479674,49356133,1673
80479674,22808063,626
80479674,94222308,647
80479674,320784999,15065
80479674,52425751,779
80479674,816012728,113133
80479674,363220291,568
80479674,552225454,1712
80479674,523379067,77
80479674,20499155,285
80479674,54484447,1335
80479674,148919041,918
80479674,1434186265,546
80479674,352374194,3237
80479674,23216025,21594
80479674,1447163953,23
80479674,1448594996,2
80479674,336955763,359
80479674,1445076362,9645
80479674,49495964,4289
80479674,546278032,697
80479674,18036909,0
80479674,485722389,60027
80479674,488354842,151
80479674,17731836,4132
80479674,27209052,2638
80479674,384936357,0
80479674,927736562,0
80479674,721331358,1083
80479674,1446848845,10
80479674,1223236290,143
80479674,113708781,931
80479674,19450068,1407
80479674,140780037,151
80479674,1364897744,277
80479674,1389697932,216
80479674,198710847,6086
80479674,292082165,20
80479674,29755508,5606
80479674,18896866,8332
80479674,1208410202,19
80479674,101179612,721
80479674,45995282,16986
80479674,370167778,124
80479674,1434665821,397
80479674,25712984,2512
80479674,1115920826,15985
80479674,1387533786,222
80479674,965142457,94968
80479674,337276062,15
80479674,125530565,3382
80479674,1143241321,51
80479674,289947580,47
80479674,66394878,148
80479674,40962458,84
80479674,1430639017,7
80479674,1412901464,65
80479674,33273289,199
80479674,289175212,9027
80479674,1161665851,1757
80479674,1396260588,18
80479674,1257998390,51
80479674,282281091,2388
80479674,312475265,2096
80479674,102103816,16245
80479674,17075734,789
80479674,1073351480,20
80479674,1439672348,171
80479674,18328223,8348
80479674,35408619,47345
80479674,740855131,1726
80479674,964525356,2911
80479674,872200993,2840
80479674,82115633,2449
80479674,45776868,550
80479674,1362481074,0
80479674,27366896,606
80479674,712972494,7504
80479674,108663922,0
80479674,308113240,61
80479674,1415016768,1063
80479674,30618692,86
80479674,25688061,1456
80479674,1438560631,7361
80479674,83253546,24261
80479674,481739133,2724
80479674,90745680,56
80479674,1428707922,211
80479674,1392885805,997
80479674,1427034829,10
80479674,411779410,373
80479674,1359447954,0
80479674,35652421,195
80479674,282676246,9735
80479674,493403964,2316
80479674,1360330748,503
80479674,167514756,3
80479674,83924635,976
80479674,1412286290,2126
80479674,242199563,70
80479674,84768599,357
80479674,1329223015,74
80479674,1410439824,208
80479674,1425760069,1753
80479674,35701007,1196
80479674,380949011,91
80479674,1323358993,703
80479674,1386002798,286
80479674,25022800,7886
80479674,138866399,217
80479674,113757175,424
80479674,31956599,1382
80479674,621117771,750
80479674,1094135180,1597
80479674,1433362266,98
80479674,971293195,212
80479674,417282205,1485
80479674,22294666,3609
80479674,362223061,18
80479674,376255209,11
80479674,167275378,615
80479674,14274387,68
80479674,43962338,74
80479674,399809912,638
80479674,1431966356,0
80479674,1230786726,141
80479674,181848873,494
80479674,288393288,1084
80479674,151976184,3117
80479674,376377151,0
80479674,586853164,939
80479674,76722575,1502
80479674,235945918,0
80479674,1351272738,116
80479674,1417237010,945
80479674,115658468,104
80479674,196349362,507
80479674,101750571,4490
80479674,19696531,130
80479674,1426962415,11
80479674,1242445296,5
80479674,30013901,42
80479674,915951469,1799
80479674,425471156,653
